compound_id	external_id	source	url	name
DrugBank_DB02448	DB02448	DrugBank	https://go.drugbank.com/drugs/DB02448	N-tridecanoic Acid
DrugBank_DB12771	DB12771	DrugBank	https://go.drugbank.com/drugs/DB12771	Hydroxytyrosol
DrugBank_DB00890	DB00890	DrugBank	https://go.drugbank.com/drugs/DB00890	Dienestrol
DrugBank_DB11871	DB11871	DrugBank	https://go.drugbank.com/drugs/DB11871	Pf-00610355
DrugBank_DB08838	DB08838	DrugBank	https://go.drugbank.com/drugs/DB08838	Agmatine
DrugBank_DB07347	DB07347	DrugBank	https://go.drugbank.com/drugs/DB07347	4-(2-aminoethyl)benzenesulfonyl Fluoride
DrugBank_DB08641	DB08641	DrugBank	https://go.drugbank.com/drugs/DB08641	(2s,3s)-3-formyl-2-({[(4-nitrophenyl)sulfonyl]amino}methyl)pentanoic Acid
DrugBank_DB08173	DB08173	DrugBank	https://go.drugbank.com/drugs/DB08173	5-chloro-n-(2-(4-(2-oxopyridin-1(2h)-yl)benzamido)ethyl)thiophene-2-carboxamide
DrugBank_DB04770	DB04770	DrugBank	https://go.drugbank.com/drugs/DB04770	O6-(r)-roscovitine, R-2-(6-benzyloxy-9-isopropyl-9h-purin-2-ylamino)-butan-1-ol
DrugBank_DB00035	DB00035	DrugBank	https://go.drugbank.com/drugs/DB00035	Desmopressin
DrugBank_DB04432	DB04432	DrugBank	https://go.drugbank.com/drugs/DB04432	Zk-805623
DrugBank_DB00157	DB00157	DrugBank	https://go.drugbank.com/drugs/DB00157	Nadh
DrugBank_DB11812	DB11812	DrugBank	https://go.drugbank.com/drugs/DB11812	Talaporfin
DrugBank_DB00224	DB00224	DrugBank	https://go.drugbank.com/drugs/DB00224	Indinavir
DrugBank_DB11193	DB11193	DrugBank	https://go.drugbank.com/drugs/DB11193	Papain
DrugBank_DB01155	DB01155	DrugBank	https://go.drugbank.com/drugs/DB01155	Gemifloxacin
DrugBank_DB05183	DB05183	DrugBank	https://go.drugbank.com/drugs/DB05183	Mln0415
DrugBank_DB06064	DB06064	DrugBank	https://go.drugbank.com/drugs/DB06064	Kai-1455
DrugBank_DB01612	DB01612	DrugBank	https://go.drugbank.com/drugs/DB01612	Amyl Nitrite
DrugBank_DB04619	DB04619	DrugBank	https://go.drugbank.com/drugs/DB04619	Acetophenone
DrugBank_DB01249	DB01249	DrugBank	https://go.drugbank.com/drugs/DB01249	Iodixanol
DrugBank_DB00997	DB00997	DrugBank	https://go.drugbank.com/drugs/DB00997	Doxorubicin
DrugBank_DB00067	DB00067	DrugBank	https://go.drugbank.com/drugs/DB00067	Vasopressin
DrugBank_DB00911	DB00911	DrugBank	https://go.drugbank.com/drugs/DB00911	Tinidazole
DrugBank_DB04230	DB04230	DrugBank	https://go.drugbank.com/drugs/DB04230	Nitromethyldethia Coenzyme A
DrugBank_DB00866	DB00866	DrugBank	https://go.drugbank.com/drugs/DB00866	Alprenolol
DrugBank_DB06977	DB06977	DrugBank	https://go.drugbank.com/drugs/DB06977	(2s)-1-{[5-(1h-indazol-5-yl)-3-pyridinyl]oxy}-3-(7ah-indol-3-yl)-2-propanamine
DrugBank_DB14509	DB14509	DrugBank	https://go.drugbank.com/drugs/DB14509	Lithium Carbonate
DrugBank_DB01565	DB01565	DrugBank	https://go.drugbank.com/drugs/DB01565	Dihydromorphine
DrugBank_DB07977	DB07977	DrugBank	https://go.drugbank.com/drugs/DB07977	3-({[3,5-difluoro-3'-(trifluoromethoxy)biphenyl-4-yl]amino}carbonyl)thiophene-2-carboxylic Acid
DrugBank_DB08887	DB08887	DrugBank	https://go.drugbank.com/drugs/DB08887	Icosapent Ethyl
DrugBank_DB05740	DB05740	DrugBank	https://go.drugbank.com/drugs/DB05740	Rpi-78m
DrugBank_DB12293	DB12293	DrugBank	https://go.drugbank.com/drugs/DB12293	Nefopam
DrugBank_DB00202	DB00202	DrugBank	https://go.drugbank.com/drugs/DB00202	Succinylcholine
DrugBank_DB01593	DB01593	DrugBank	https://go.drugbank.com/drugs/DB01593	Zinc
DrugBank_DB02604	DB02604	DrugBank	https://go.drugbank.com/drugs/DB02604	2-deoxy-glucose-6-phosphate
DrugBank_DB01509	DB01509	DrugBank	https://go.drugbank.com/drugs/DB01509	Tenamfetamine
DrugBank_DB03706	DB03706	DrugBank	https://go.drugbank.com/drugs/DB03706	1-hydroxy-2-s-glutathionyl-3-para-nitrophenoxy-propane
DrugBank_DB02538	DB02538	DrugBank	https://go.drugbank.com/drugs/DB02538	N-[4-(2-methylimidazo[1,2-a]pyridin-3-yl)-2-pyrimidinyl]acetamide
DrugBank_DB07877	DB07877	DrugBank	https://go.drugbank.com/drugs/DB07877	8-(6-bromo-benzo[1,3]dioxol-5-ylsulfanyl)-9-(3-isopropylamino-propyl)-adenine
DrugBank_DB07447	DB07447	DrugBank	https://go.drugbank.com/drugs/DB07447	5beta-dihydrotestosterone
DrugBank_DB04837	DB04837	DrugBank	https://go.drugbank.com/drugs/DB04837	Clofedanol
DrugBank_DB03557	DB03557	DrugBank	https://go.drugbank.com/drugs/DB03557	4-[[(2s)-1-[[6-[(1-amino-1-oxo-3-sulfanylpropan-2-yl)amino]-6-oxohexyl]amino]-3-[4-[difluoro(phosphono)methyl]phenyl]-1-oxopropan-2-yl]amino]-3-[[2-[4-[difluoro(phosphono)methyl]phenyl]acetyl]amino]-4-oxobutanoic Acid
DrugBank_DB11166	DB11166	DrugBank	https://go.drugbank.com/drugs/DB11166	Antithrombin Alfa
DrugBank_DB00939	DB00939	DrugBank	https://go.drugbank.com/drugs/DB00939	Meclofenamic Acid
DrugBank_DB06711	DB06711	DrugBank	https://go.drugbank.com/drugs/DB06711	Naphazoline
DrugBank_DB07100	DB07100	DrugBank	https://go.drugbank.com/drugs/DB07100	4-chloro-6-(4-piperazin-1-yl-1h-pyrazol-5-yl)benzene-1,3-diol
DrugBank_DB05848	DB05848	DrugBank	https://go.drugbank.com/drugs/DB05848	Humanized Smart Anti-il-12 Antibody
DrugBank_DB06985	DB06985	DrugBank	https://go.drugbank.com/drugs/DB06985	2-[({4-[2-(trifluoromethyl)phenyl]piperidin-1-yl}carbonyl)amino]benzoic Acid
DrugBank_DB05420	DB05420	DrugBank	https://go.drugbank.com/drugs/DB05420	Gallium Maltolate
DrugBank_DB07063	DB07063	DrugBank	https://go.drugbank.com/drugs/DB07063	Lidorestat
DrugBank_DB01645	DB01645	DrugBank	https://go.drugbank.com/drugs/DB01645	Genistein
DrugBank_DB05075	DB05075	DrugBank	https://go.drugbank.com/drugs/DB05075	Tg-100801
DrugBank_DB00103	DB00103	DrugBank	https://go.drugbank.com/drugs/DB00103	Agalsidase Beta
DrugBank_DB08577	DB08577	DrugBank	https://go.drugbank.com/drugs/DB08577	3-[(3-(2-carboxyethyl)-4-methylpyrrol-2-yl)methylene]-2-indolinone
DrugBank_DB06069	DB06069	DrugBank	https://go.drugbank.com/drugs/DB06069	Xmt-1001
DrugBank_DB07336	DB07336	DrugBank	https://go.drugbank.com/drugs/DB07336	4-[3-(1h-benzimidazol-2-yl)-1h-indazol-6-yl]-2-methoxyphenol
DrugBank_DB12363	DB12363	DrugBank	https://go.drugbank.com/drugs/DB12363	Dusigitumab
DrugBank_DB07847	DB07847	DrugBank	https://go.drugbank.com/drugs/DB07847	6-chloro-n-{(3s)-1-[(1s)-1-methyl-2-(4-morpholinyl)-2-oxo Ethyl]-2-oxo-3-pyrrolidinyl}-2-naphthalenesulfonamide
DrugBank_DB07007	DB07007	DrugBank	https://go.drugbank.com/drugs/DB07007	(3r)-3-[(1,2,3,4-tetrahydroisoquinolin-7-yloxy)methyl]-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine
DrugBank_DB11419	DB11419	DrugBank	https://go.drugbank.com/drugs/DB11419	Haloxon
DrugBank_DB01640	DB01640	DrugBank	https://go.drugbank.com/drugs/DB01640	6-(4-{[2-(3-iodobenzyl)-3-oxocyclohex-1-en-1-yl]amino}phenyl)-5-methyl-4,5-dihydropyridazin-3(2h)-one
DrugBank_DB01941	DB01941	DrugBank	https://go.drugbank.com/drugs/DB01941	Lg-100268
DrugBank_DB01163	DB01163	DrugBank	https://go.drugbank.com/drugs/DB01163	Amdinocillin
DrugBank_DB08345	DB08345	DrugBank	https://go.drugbank.com/drugs/DB08345	4-(2-(1h-imidazol-4-yl)ethylamino)-2-(phenylamino)pyrazolo[1,5-a][1,3,5]triazine-8-carbonitrile
DrugBank_DB07814	DB07814	DrugBank	https://go.drugbank.com/drugs/DB07814	Gibberellic Acid
DrugBank_DB05381	DB05381	DrugBank	https://go.drugbank.com/drugs/DB05381	Histamine
DrugBank_DB06700	DB06700	DrugBank	https://go.drugbank.com/drugs/DB06700	Desvenlafaxine
DrugBank_DB08182	DB08182	DrugBank	https://go.drugbank.com/drugs/DB08182	4-(4-propoxy-1h-pyrrolo[2,3-b]pyridin-3-yl)pyrimidin-2-amine
DrugBank_DB09325	DB09325	DrugBank	https://go.drugbank.com/drugs/DB09325	Sodium Fluoride
DrugBank_DB00645	DB00645	DrugBank	https://go.drugbank.com/drugs/DB00645	Dyclonine
DrugBank_DB06176	DB06176	DrugBank	https://go.drugbank.com/drugs/DB06176	Romidepsin
DrugBank_DB05990	DB05990	DrugBank	https://go.drugbank.com/drugs/DB05990	Obeticholic Acid
DrugBank_DB04714	DB04714	DrugBank	https://go.drugbank.com/drugs/DB04714	Isopentenyl Pyrophosphate
DrugBank_DB04254	DB04254	DrugBank	https://go.drugbank.com/drugs/DB04254	8-benzo[1,3]dioxol-,5-ylmethyl-9-butyl-2-fluoro-9h-purin-6-ylamine
DrugBank_DB02153	DB02153	DrugBank	https://go.drugbank.com/drugs/DB02153	3-sulfino-l-alanine
DrugBank_DB08601	DB08601	DrugBank	https://go.drugbank.com/drugs/DB08601	Tributyltin
DrugBank_DB15595	DB15595	DrugBank	https://go.drugbank.com/drugs/DB15595	Ebola Zaire Vaccine (live, Attenuated)
DrugBank_DB04752	DB04752	DrugBank	https://go.drugbank.com/drugs/DB04752	Phosphatidyl Ethanol
DrugBank_DB04612	DB04612	DrugBank	https://go.drugbank.com/drugs/DB04612	N-methylalanyl-3-methylvalyl-4-phenoxy-n-(1,2,3,4-tetrahydronaphthalen-1-yl)prolinamide
DrugBank_DB00017	DB00017	DrugBank	https://go.drugbank.com/drugs/DB00017	Salmon Calcitonin
DrugBank_DB07025	DB07025	DrugBank	https://go.drugbank.com/drugs/DB07025	3-(5-{[4-(aminomethyl)piperidin-1-yl]methyl}-1h-indol-2-yl)quinolin-2(1h)-one
DrugBank_DB08028	DB08028	DrugBank	https://go.drugbank.com/drugs/DB08028	But-3-enyl-[5-(4-chloro-phenyl)-3,6-dihydro-[1,3,4]thiadiazin-2-ylidene]-amine
DrugBank_DB14824	DB14824	DrugBank	https://go.drugbank.com/drugs/DB14824	Icrucumab
DrugBank_DB09331	DB09331	DrugBank	https://go.drugbank.com/drugs/DB09331	Daratumumab
DrugBank_DB08842	DB08842	DrugBank	https://go.drugbank.com/drugs/DB08842	Acetylcarnitine
DrugBank_DB03181	DB03181	DrugBank	https://go.drugbank.com/drugs/DB03181	2-[4-(4-hydroxy-3-isopropyl-phenoxy)-3,5-dimethyl-phenyl]-2h-[1,2,4]triazine-3,5-dione
DrugBank_DB11168	DB11168	DrugBank	https://go.drugbank.com/drugs/DB11168	Calcium Threonate
DrugBank_DB12447	DB12447	DrugBank	https://go.drugbank.com/drugs/DB12447	Nadifloxacin
DrugBank_DB04723	DB04723	DrugBank	https://go.drugbank.com/drugs/DB04723	2-(3-guanidinophenyl)-3-mercaptopropanoic Acid
DrugBank_DB01030	DB01030	DrugBank	https://go.drugbank.com/drugs/DB01030	Topotecan
DrugBank_DB13135	DB13135	DrugBank	https://go.drugbank.com/drugs/DB13135	Agn-201904
DrugBank_DB13713	DB13713	DrugBank	https://go.drugbank.com/drugs/DB13713	Quifenadine
DrugBank_DB07047	DB07047	DrugBank	https://go.drugbank.com/drugs/DB07047	2',4'-dichloro-4-hydroxy-1,1'-biphenyl-3-carboxylic Acid
DrugBank_DB04977	DB04977	DrugBank	https://go.drugbank.com/drugs/DB04977	Plitidepsin
DrugBank_DB08369	DB08369	DrugBank	https://go.drugbank.com/drugs/DB08369	1-(biphenyl-4-ylmethyl)-1h-imidazole
DrugBank_DB02359	DB02359	DrugBank	https://go.drugbank.com/drugs/DB02359	9-butyl-8-(2,5-dimethoxy-benzyl)-9h-purin-6-ylamine
DrugBank_DB12107	DB12107	DrugBank	https://go.drugbank.com/drugs/DB12107	Vaborbactam
DrugBank_DB07641	DB07641	DrugBank	https://go.drugbank.com/drugs/DB07641	Decyl(dimethyl)phosphine Oxide
DrugBank_DB04991	DB04991	DrugBank	https://go.drugbank.com/drugs/DB04991	Xl784
DrugBank_DB02424	DB02424	DrugBank	https://go.drugbank.com/drugs/DB02424	Geldanamycin
DrugBank_DB04697	DB04697	DrugBank	https://go.drugbank.com/drugs/DB04697	Trans-4-(guanidinomethyl)-cyclohexane-l-yl-d-3-cyclohexylalanyl-l-azetidine-2-yl-d-tyrosinyl-l-homoargininamide
DrugBank_DB13064	DB13064	DrugBank	https://go.drugbank.com/drugs/DB13064	Tramazoline
DrugBank_DB12470	DB12470	DrugBank	https://go.drugbank.com/drugs/DB12470	Dexelvucitabine
DrugBank_DB02376	DB02376	DrugBank	https://go.drugbank.com/drugs/DB02376	D-gluconhydroximo-1,5-lactam
DrugBank_DB01471	DB01471	DrugBank	https://go.drugbank.com/drugs/DB01471	Bolasterone
DrugBank_DB01090	DB01090	DrugBank	https://go.drugbank.com/drugs/DB01090	Pentolinium
DrugBank_DB08104	DB08104	DrugBank	https://go.drugbank.com/drugs/DB08104	N-(3,5-dibromo-4-hydroxyphenyl)benzamide
DrugBank_DB03935	DB03935	DrugBank	https://go.drugbank.com/drugs/DB03935	1,4-dideoxy-o2-sulfo-glucuronic Acid
DrugBank_DB09272	DB09272	DrugBank	https://go.drugbank.com/drugs/DB09272	Eluxadoline
DrugBank_DB00894	DB00894	DrugBank	https://go.drugbank.com/drugs/DB00894	Testolactone
DrugBank_DB02216	DB02216	DrugBank	https://go.drugbank.com/drugs/DB02216	S-methylcysteine
DrugBank_DB00199	DB00199	DrugBank	https://go.drugbank.com/drugs/DB00199	Erythromycin
DrugBank_DB05466	DB05466	DrugBank	https://go.drugbank.com/drugs/DB05466	R673
DrugBank_DB00842	DB00842	DrugBank	https://go.drugbank.com/drugs/DB00842	Oxazepam
DrugBank_DB07981	DB07981	DrugBank	https://go.drugbank.com/drugs/DB07981	2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1h-indol-3-yl]-n-[(1r)-1-(hydroxymethyl)propyl]acetamide
DrugBank_DB01840	DB01840	DrugBank	https://go.drugbank.com/drugs/DB01840	2-deoxy-d-glucitol 6-(e)-vinylhomophosphonate
DrugBank_DB00264	DB00264	DrugBank	https://go.drugbank.com/drugs/DB00264	Metoprolol
DrugBank_DB13396	DB13396	DrugBank	https://go.drugbank.com/drugs/DB13396	Neocitrullamon
DrugBank_DB04099	DB04099	DrugBank	https://go.drugbank.com/drugs/DB04099	Deamido-nad+
DrugBank_DB00759	DB00759	DrugBank	https://go.drugbank.com/drugs/DB00759	Tetracycline
DrugBank_DB04617	DB04617	DrugBank	https://go.drugbank.com/drugs/DB04617	(9s)-9-[(8-ammoniooctyl)amino]-1,2,3,4,9,10-hexahydroacridinium
DrugBank_DB13459	DB13459	DrugBank	https://go.drugbank.com/drugs/DB13459	Pecilocin
DrugBank_DB00485	DB00485	DrugBank	https://go.drugbank.com/drugs/DB00485	Dicloxacillin
DrugBank_DB06719	DB06719	DrugBank	https://go.drugbank.com/drugs/DB06719	Buserelin
DrugBank_DB01139	DB01139	DrugBank	https://go.drugbank.com/drugs/DB01139	Cefapirin
DrugBank_DB12177	DB12177	DrugBank	https://go.drugbank.com/drugs/DB12177	Eplivanserin
DrugBank_DB06899	DB06899	DrugBank	https://go.drugbank.com/drugs/DB06899	N-{2-[6-(2,4-diamino-6-ethylpyrimidin-5-yl)-2,2-dimethyl-3-oxo-2,3-dihydro-4h-1,4-benzothiazin-4-yl]ethyl}acetamide
DrugBank_DB00668	DB00668	DrugBank	https://go.drugbank.com/drugs/DB00668	Epinephrine
DrugBank_DB09015	DB09015	DrugBank	https://go.drugbank.com/drugs/DB09015	Canrenoic Acid
DrugBank_DB02661	DB02661	DrugBank	https://go.drugbank.com/drugs/DB02661	Adenosine-5'-diphosphate-2',3'-vanadate
DrugBank_DB13158	DB13158	DrugBank	https://go.drugbank.com/drugs/DB13158	Clobetasone
DrugBank_DB08513	DB08513	DrugBank	https://go.drugbank.com/drugs/DB08513	[4-({5-(aminocarbonyl)-4-[(3-methylphenyl)amino]pyrimidin-2-yl}amino)phenyl]acetic Acid
DrugBank_DB03456	DB03456	DrugBank	https://go.drugbank.com/drugs/DB03456	N2-[(benzyloxy)carbonyl]-n1-[(3s)-1-cyanopyrrolidin-3-yl]-l-leucinamide
DrugBank_DB00577	DB00577	DrugBank	https://go.drugbank.com/drugs/DB00577	Valaciclovir
DrugBank_DB05225	DB05225	DrugBank	https://go.drugbank.com/drugs/DB05225	Am103
DrugBank_DB06506	DB06506	DrugBank	https://go.drugbank.com/drugs/DB06506	Repinotan
DrugBank_DB07800	DB07800	DrugBank	https://go.drugbank.com/drugs/DB07800	N-(2-(((5-chloro-2-pyridinyl)amino)sulfonyl)phenyl)-4-(2-oxo-1(2h)-pyridinyl)benzamide
DrugBank_DB02143	DB02143	DrugBank	https://go.drugbank.com/drugs/DB02143	1-hydroxy-2-isopropylguanidine
DrugBank_DB09187	DB09187	DrugBank	https://go.drugbank.com/drugs/DB09187	Lortalamine
DrugBank_DB13003	DB13003	DrugBank	https://go.drugbank.com/drugs/DB13003	Cortivazol
DrugBank_DB08326	DB08326	DrugBank	https://go.drugbank.com/drugs/DB08326	2-(6-hydroxy-1,3-benzothiazol-2-yl)-1,3-thiazol-4(5h)-one
DrugBank_DB05087	DB05087	DrugBank	https://go.drugbank.com/drugs/DB05087	Ganaxolone
DrugBank_DB08179	DB08179	DrugBank	https://go.drugbank.com/drugs/DB08179	Methyl 4-(2,3-dihydroxy-5-methylphenoxy)-2-hydroxy-6-methylbenzoate
DrugBank_DB13261	DB13261	DrugBank	https://go.drugbank.com/drugs/DB13261	Sitafloxacin
DrugBank_DB01284	DB01284	DrugBank	https://go.drugbank.com/drugs/DB01284	Tetracosactide
DrugBank_DB08690	DB08690	DrugBank	https://go.drugbank.com/drugs/DB08690	Ubiquinone Q2
DrugBank_DB13211	DB13211	DrugBank	https://go.drugbank.com/drugs/DB13211	Guanoxan
DrugBank_DB00353	DB00353	DrugBank	https://go.drugbank.com/drugs/DB00353	Methylergometrine
DrugBank_DB08898	DB08898	DrugBank	https://go.drugbank.com/drugs/DB08898	Glucarpidase
DrugBank_DB04725	DB04725	DrugBank	https://go.drugbank.com/drugs/DB04725	Licofelone
DrugBank_DB09378	DB09378	DrugBank	https://go.drugbank.com/drugs/DB09378	Fluprednisolone
DrugBank_DB00867	DB00867	DrugBank	https://go.drugbank.com/drugs/DB00867	Ritodrine
DrugBank_DB12329	DB12329	DrugBank	https://go.drugbank.com/drugs/DB12329	Eravacycline
DrugBank_DB01188	DB01188	DrugBank	https://go.drugbank.com/drugs/DB01188	Ciclopirox
DrugBank_DB07206	DB07206	DrugBank	https://go.drugbank.com/drugs/DB07206	6-[2-(1h-indol-6-yl)ethyl]pyridin-2-amine
DrugBank_DB04473	DB04473	DrugBank	https://go.drugbank.com/drugs/DB04473	Alpha-l-fucose
DrugBank_DB05296	DB05296	DrugBank	https://go.drugbank.com/drugs/DB05296	Motexafin Lutetium
DrugBank_DB02555	DB02555	DrugBank	https://go.drugbank.com/drugs/DB02555	Sp4160
DrugBank_DB03845	DB03845	DrugBank	https://go.drugbank.com/drugs/DB03845	P1-(5'-adenosyl)p5-(5'-(3'azido-3'-deoxythymidyl))pentaphosphate
DrugBank_DB13846	DB13846	DrugBank	https://go.drugbank.com/drugs/DB13846	Pyrrobutamine
DrugBank_DB03886	DB03886	DrugBank	https://go.drugbank.com/drugs/DB03886	Biopterin
DrugBank_DB04518	DB04518	DrugBank	https://go.drugbank.com/drugs/DB04518	3-[4-(2,4-dimethyl-thiazol-5-yl)-pyrimidin-2-ylamino]-phenol
DrugBank_DB02520	DB02520	DrugBank	https://go.drugbank.com/drugs/DB02520	Ditiocarb
DrugBank_DB08370	DB08370	DrugBank	https://go.drugbank.com/drugs/DB08370	S-(4-bromobenzyl)cysteine
DrugBank_DB01745	DB01745	DrugBank	https://go.drugbank.com/drugs/DB01745	N-alpha-(2-naphthylsulfonyl)-n(3-amidino-l-phenylalaninyl)isopipecolinic Acid Methyl Ester
DrugBank_DB05787	DB05787	DrugBank	https://go.drugbank.com/drugs/DB05787	Lm-609
DrugBank_DB09109	DB09109	DrugBank	https://go.drugbank.com/drugs/DB09109	Turoctocog Alfa
DrugBank_DB03958	DB03958	DrugBank	https://go.drugbank.com/drugs/DB03958	7-methyl-guanosine-5'-triphosphate-5'-guanosine
DrugBank_DB04836	DB04836	DrugBank	https://go.drugbank.com/drugs/DB04836	Amineptine
DrugBank_DB00026	DB00026	DrugBank	https://go.drugbank.com/drugs/DB00026	Anakinra
DrugBank_DB00057	DB00057	DrugBank	https://go.drugbank.com/drugs/DB00057	Indium In-111 Satumomab Pendetide
DrugBank_DB04600	DB04600	DrugBank	https://go.drugbank.com/drugs/DB04600	4-[(3-bromo-4-o-sulfamoylbenzyl)(4-cyanophenyl)amino]-4h-[1,2,4]-triazole
DrugBank_DB08332	DB08332	DrugBank	https://go.drugbank.com/drugs/DB08332	9-(2-carboxyethyl)-10-methylanthracene Endoperoxide
DrugBank_DB13311	DB13311	DrugBank	https://go.drugbank.com/drugs/DB13311	Trepibutone
DrugBank_DB08831	DB08831	DrugBank	https://go.drugbank.com/drugs/DB08831	2-deoxyglucose
DrugBank_DB07116	DB07116	DrugBank	https://go.drugbank.com/drugs/DB07116	1-(2-deoxy-5-o-phosphono-beta-d-erythro-pentofuranosyl)-4-methyl-1h-indole
DrugBank_DB04793	DB04793	DrugBank	https://go.drugbank.com/drugs/DB04793	1,4:3,6-dianhydro-2-o-(3-carbamimidoylphenyl)-5-o-(4-carbamimidoylphenyl)-d-glucitol
DrugBank_DB09243	DB09243	DrugBank	https://go.drugbank.com/drugs/DB09243	Hydracarbazine
DrugBank_DB00695	DB00695	DrugBank	https://go.drugbank.com/drugs/DB00695	Furosemide
DrugBank_DB01126	DB01126	DrugBank	https://go.drugbank.com/drugs/DB01126	Dutasteride
DrugBank_DB12268	DB12268	DrugBank	https://go.drugbank.com/drugs/DB12268	Carmegliptin
DrugBank_DB11595	DB11595	DrugBank	https://go.drugbank.com/drugs/DB11595	Atezolizumab
DrugBank_DB14491	DB14491	DrugBank	https://go.drugbank.com/drugs/DB14491	Ferrous Fumarate
DrugBank_DB02811	DB02811	DrugBank	https://go.drugbank.com/drugs/DB02811	Diethyl Phosphonate
DrugBank_DB07406	DB07406	DrugBank	https://go.drugbank.com/drugs/DB07406	(4r)-n-[4-({[2-(dimethylamino)ethyl]amino}carbonyl)-1,3-thiazol-2-yl]-4-methyl-1-oxo-2,3,4,9-tetrahydro-1h-beta-carboline-6-carboxamide
DrugBank_DB04285	DB04285	DrugBank	https://go.drugbank.com/drugs/DB04285	{4-[(2s,4e)-2-(1,3-benzothiazol-2-yl)-2-(1h-1,2,3-benzotriazol-1-yl)-5-phenylpent-4-enyl]phenyl}(difluoro)methylphosphonic Acid
DrugBank_DB06738	DB06738	DrugBank	https://go.drugbank.com/drugs/DB06738	Ketobemidone
DrugBank_DB00965	DB00965	DrugBank	https://go.drugbank.com/drugs/DB00965	Ethiodized Oil
DrugBank_DB08394	DB08394	DrugBank	https://go.drugbank.com/drugs/DB08394	Para-nitrophenylphosphonobutanoyl-glycine
DrugBank_DB02955	DB02955	DrugBank	https://go.drugbank.com/drugs/DB02955	Ricinoleic Acid
DrugBank_DB02288	DB02288	DrugBank	https://go.drugbank.com/drugs/DB02288	Cra-9334
DrugBank_DB00023	DB00023	DrugBank	https://go.drugbank.com/drugs/DB00023	Asparaginase Escherichia Coli
DrugBank_DB01439	DB01439	DrugBank	https://go.drugbank.com/drugs/DB01439	3-methylthiofentanyl
DrugBank_DB13844	DB13844	DrugBank	https://go.drugbank.com/drugs/DB13844	Pipenzolate
DrugBank_DB09045	DB09045	DrugBank	https://go.drugbank.com/drugs/DB09045	Dulaglutide
DrugBank_DB08213	DB08213	DrugBank	https://go.drugbank.com/drugs/DB08213	1-methyl-5-(2-phenoxymethyl-pyrrolidine-1-sulfonyl)-1h-indole-2,3-dione
DrugBank_DB06963	DB06963	DrugBank	https://go.drugbank.com/drugs/DB06963	3-[3-(3-methyl-6-{[(1s)-1-phenylethyl]amino}-1h-pyrazolo[4,3-c]pyridin-1-yl)phenyl]propanamide
DrugBank_DB06730	DB06730	DrugBank	https://go.drugbank.com/drugs/DB06730	Gestodene
DrugBank_DB00683	DB00683	DrugBank	https://go.drugbank.com/drugs/DB00683	Midazolam
DrugBank_DB11248	DB11248	DrugBank	https://go.drugbank.com/drugs/DB11248	Zinc Gluconate
DrugBank_DB03217	DB03217	DrugBank	https://go.drugbank.com/drugs/DB03217	Dpi59
DrugBank_DB06880	DB06880	DrugBank	https://go.drugbank.com/drugs/DB06880	(1s)-2-[(2s,5r)-2-(aminomethyl)-5-prop-1-yn-1-ylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine
