gene_id	external_id	source	url	name
Gene::100129271	100129271	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129271	C1orf68
Gene::100129275	100129275	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129275	Loc100129275
Gene::100129278	100129278	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129278	Tdrd15
Gene::100129280	100129280	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129280	Loc100129280
Gene::100129307	100129307	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129307	Loc100129307
Gene::100129311	100129311	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129311	Loc100129311
Gene::100129322	100129322	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129322	Loc100129322
Gene::100129324	100129324	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129324	Loc100129324
Gene::100129361	100129361	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129361	Smim10l1
Gene::100129363	100129363	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129363	Loc100129363
Gene::100129380	100129380	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129380	Loc100129380
Gene::100129385	100129385	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129385	C9orf92
Gene::100129393	100129393	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129393	Loc100129393
Gene::100129397	100129397	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129397	Loc100129397
Gene::100129399	100129399	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129399	Loc100129399
Gene::100129406	100129406	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129406	Loc100129406
Gene::100129408	100129408	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129408	Loc100129408
Gene::100129447	100129447	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129447	Loc100129447
Gene::100129480	100129480	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129480	Mkrn2os
Gene::100129520	100129520	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129520	Loc100129520
Gene::100129528	100129528	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129528	Muc8
Gene::100129543	100129543	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129543	Znf730
Gene::100129572	100129572	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129572	Loc100129572
Gene::100129583	100129583	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129583	Fam47e
Gene::100129654	100129654	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129654	Tcf24
Gene::100129669	100129669	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129669	Izumo3
Gene::100129697	100129697	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129697	Loc100129697
Gene::100129721	100129721	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129721	Loc100129721
Gene::100129763	100129763	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129763	Loc100129763
Gene::100129775	100129775	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129775	Loc100129775
Gene::100129785	100129785	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129785	Loc100129785
Gene::100129792	100129792	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129792	Ccdc152
Gene::100129840	100129840	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129840	Loc100129840
Gene::100129842	100129842	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129842	Znf737
Gene::100129846	100129846	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129846	Loc100129846
Gene::100129852	100129852	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129852	Loc100129852
Gene::100129884	100129884	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129884	Loc100129884
Gene::100129924	100129924	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129924	Loc100129924
Gene::100129940	100129940	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129940	Loc100129940
Gene::100129969	100129969	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129969	Fam205c
Gene::100129974	100129974	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100129974	Loc100129974
Gene::10013	10013	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/10013	Hdac6
Gene::100130051	100130051	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130051	Loc100130051
Gene::100130057	100130057	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130057	Loc100130057
Gene::100130078	100130078	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130078	Loc100130078
Gene::100130086	100130086	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130086	Hsfx2
Gene::100130097	100130097	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130097	Kif28p
Gene::100130101	100130101	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130101	Loc100130101
Gene::100130175	100130175	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130175	Loc100130175
Gene::100130274	100130274	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130274	Ccdc166
Gene::100130276	100130276	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130276	Loc100130276
Gene::100130278	100130278	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130278	Loc100130278
Gene::100130301	100130301	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130301	C8orf89
Gene::100130302	100130302	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130302	Supt20hl1
Gene::100130311	100130311	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130311	C17orf107
Gene::100130314	100130314	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130314	Loc100130314
Gene::100130345	100130345	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130345	Loc100130345
Gene::100130348	100130348	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130348	Tmem262
Gene::100130357	100130357	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130357	Loc100130357
Gene::100130361	100130361	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130361	Cxorf49
Gene::100130370	100130370	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130370	Loc100130370
Gene::100130372	100130372	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130372	Loc100130372
Gene::100130433	100130433	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130433	Loc100130433
Gene::100130436	100130436	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130436	Loc100130436
Gene::100130442	100130442	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130442	Loc100130442
Gene::100130451	100130451	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130451	Loc100130451
Gene::100130463	100130463	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130463	Loc100130463
Gene::100130519	100130519	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130519	Tmem221
Gene::100130520	100130520	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130520	Loc100130520
Gene::100130539	100130539	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130539	C10orf142
Gene::100130540	100130540	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130540	Loc100130540
Gene::100130542	100130542	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130542	Loc100130542
Gene::100130560	100130560	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130560	Loc100130560
Gene::100130573	100130573	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130573	Loc100130573
Gene::100130597	100130597	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130597	Loc100130597
Gene::100130613	100130613	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130613	Prr32
Gene::100130654	100130654	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130654	Loc100130654
Gene::100130657	100130657	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130657	Loc100130657
Gene::100130705	100130705	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130705	Loc100130705
Gene::100130733	100130733	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130733	Lrrc70
Gene::100130741	100130741	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130741	Loc100130741
Gene::100130742	100130742	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130742	Lrrc69
Gene::100130761	100130761	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130761	Loc100130761
Gene::100130778	100130778	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130778	Loc100130778
Gene::100130817	100130817	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130817	Loc100130817
Gene::100130827	100130827	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130827	Sbk3
Gene::100130857	100130857	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130857	Loc100130857
Gene::100130863	100130863	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130863	Znf840p
Gene::100130865	100130865	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130865	Loc100130865
Gene::100130880	100130880	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130880	Loc100130880
Gene::100130890	100130890	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130890	Tstd3
Gene::100130920	100130920	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130920	Loc100130920
Gene::100130927	100130927	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130927	Loc100130927
Gene::100130933	100130933	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130933	Smim6
Gene::100130958	100130958	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130958	Syce1l
Gene::100130967	100130967	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130967	C6orf99
Gene::100130976	100130976	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130976	Loc100130976
Gene::100130988	100130988	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100130988	C7orf72
Gene::100131000	100131000	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131000	Loc100131000
Gene::100131004	100131004	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131004	Loc100131004
Gene::100131017	100131017	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131017	Znf316
Gene::100131032	100131032	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131032	Loc100131032
Gene::100131034	100131034	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131034	Loc100131034
Gene::100131094	100131094	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131094	Dpp9-as1
Gene::100131099	100131099	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131099	Loc100131099
Gene::100131101	100131101	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131101	Loc100131101
Gene::100131107	100131107	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131107	Loc100131107
Gene::100131129	100131129	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131129	Loc100131129
Gene::100131137	100131137	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131137	Bsph1
Gene::100131150	100131150	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131150	Loc100131150
Gene::100131170	100131170	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131170	Loc100131170
Gene::100131187	100131187	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131187	Tstd1
Gene::100131190	100131190	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131190	Loc100131190
Gene::100131195	100131195	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131195	Loc100131195
Gene::100131211	100131211	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131211	Nemp2
Gene::100131242	100131242	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131242	Loc100131242
Gene::100131244	100131244	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131244	Ankrd63
Gene::100131303	100131303	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131303	Loc100131303
Gene::100131310	100131310	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131310	Loc100131310
Gene::100131355	100131355	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131355	Loc100131355
Gene::100131378	100131378	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131378	C11orf91
Gene::100131390	100131390	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131390	Sp9
Gene::100131439	100131439	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131439	Cd300ld
Gene::100131539	100131539	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131539	Znf705e
Gene::100131581	100131581	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131581	Loc100131581
Gene::100131599	100131599	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131599	Loc100131599
Gene::100131608	100131608	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131608	Prr23d1
Gene::100131654	100131654	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131654	Loc100131654
Gene::100131719	100131719	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131719	Loc100131719
Gene::100131755	100131755	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131755	Armcx4
Gene::100131801	100131801	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131801	Pet100
Gene::100131820	100131820	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131820	Loc100131820
Gene::100131821	100131821	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131821	Loc100131821
Gene::100131822	100131822	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131822	Loc100131822
Gene::100131827	100131827	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131827	Znf717
Gene::100131829	100131829	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131829	Loc100131829
Gene::100131840	100131840	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131840	Loc100131840
Gene::100131860	100131860	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131860	Loc100131860
Gene::100131864	100131864	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131864	Loc100131864
Gene::100131878	100131878	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131878	Loc100131878
Gene::100131894	100131894	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131894	Loc100131894
Gene::100131897	100131897	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131897	Fam196b
Gene::100131902	100131902	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131902	Krtap25-1
Gene::100131907	100131907	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131907	Loc100131907
Gene::100131980	100131980	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100131980	Znf705g
Gene::100132004	100132004	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132004	Loc100132004
Gene::100132006	100132006	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132006	Loc100132006
Gene::100132025	100132025	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132025	Loc100132025
Gene::100132069	100132069	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132069	Loc100132069
Gene::100132071	100132071	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132071	Loc100132071
Gene::100132074	100132074	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132074	Foxo6
Gene::100132146	100132146	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132146	Loc100132146
Gene::100132154	100132154	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132154	Loc100132154
Gene::100132197	100132197	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132197	Loc100132197
Gene::100132247	100132247	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132247	Npipb5
Gene::100132257	100132257	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132257	Loc100132257
Gene::100132285	100132285	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132285	Kir2ds2
Gene::100132363	100132363	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132363	Loc100132363
Gene::100132365	100132365	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132365	Loc100132365
Gene::100132386	100132386	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132386	Krtap4-9
Gene::100132396	100132396	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132396	Znf705b
Gene::100132399	100132399	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132399	Gage12d
Gene::100132403	100132403	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132403	Fam157b
Gene::100132406	100132406	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132406	Nbpf10
Gene::100132418	100132418	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132418	Loc100132418
Gene::100132439	100132439	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132439	Fam27e4
Gene::100132463	100132463	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132463	Cldn24
Gene::100132474	100132474	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132474	Loc100132474
Gene::100132476	100132476	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132476	Krtap4-7
Gene::100132495	100132495	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132495	Loc100132495
Gene::100132506	100132506	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132506	Fam197y3
Gene::100132612	100132612	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132612	Loc100132612
Gene::100132731	100132731	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132731	Loc100132731
Gene::100132800	100132800	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132800	Loc100132800
Gene::100132874	100132874	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132874	Loc100132874
Gene::100132911	100132911	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132911	Dph3p1
Gene::100132916	100132916	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132916	Fam159b
Gene::100132932	100132932	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132932	Fam197y9
Gene::100132963	100132963	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132963	Smim9
Gene::100132994	100132994	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100132994	Cxorf49b
Gene::100133053	100133053	NCBI Gene	https://www.ncbi.nlm.nih.gov/gene/100133053	Cxorf51b
